Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate,Modeled Avg Wicking Rate
0.324511,0.89947,0.0,0.0,0.0,2.771770448459374,0.0
0.524997,1.79894,0.1712536538461538,1.1644114480259808,3.994438190669449,3.4265719613635883,6.799337835279317
0.702757,2.69841,0.3425073076923076,1.7656300474382458,3.167749063563192,3.839748305602079,5.15501423702295
0.859936,3.59788,0.5137609615384615,2.273328172730902,2.798177743852291,4.18389275480966,4.424875268691887
1.024059,4.49735,0.6850146153846153,2.732123961250131,2.5754721482914005,4.391690322530245,3.9884170350381867
1.190621,5.39682,0.856268269230769,3.1593030494606227,2.421621508517738,4.532777432953056,3.6896182691655635
1.357241,6.29629,1.027521923076923,3.563733071707559,2.3065258818399235,4.639036103389155,3.468279354114344
1.523879,7.19576,1.1987755769230768,3.95068388427838,2.2157846114887207,4.722002206211911,3.295599243370211
1.690428,8.09523,1.3700292307692306,4.323590858177562,2.1415277971278748,4.788864121985675,3.155838401893071
1.857142,8.9947,1.5412828846153843,4.684841748866583,2.0790433617610007,4.843302235370262,3.039572939938051
2.023699,9.89417,1.712536538461538,5.036176426671245,2.025314847522091,4.8891510051643055,2.940770204643638
2.190221,10.79364,1.883790192307692,5.378909570328464,1.9783097878588407,4.9281054286302615,2.8553655244054323
2.356831,11.69311,2.055043846153846,5.714063654546855,1.9366020678142053,4.96136973758407,2.7805069294463536
2.523738,12.59258,2.2262975,6.042452802216232,1.899157544344238,4.989654235106814,2.7141263924593333
2.690032,13.49205,2.3975511538461536,6.364738020738251,1.865205575910452,5.015572305459564,2.65468288779905
2.856684,14.39152,2.568804807692308,6.681464923694685,1.8341585311265736,5.037841077277011,2.6010014087823965
3.023321,15.29099,2.740058461538461,6.9930902822569125,1.8055594433365751,5.057679948639262,2.552168276851473
3.189811,16.19046,2.911312115384615,7.300001201360065,1.7790468733948783,5.0756800324533335,2.507460867140883
3.356453,17.08993,3.0825657692307686,7.602529279954576,1.7543306712566344,5.091663729538295,2.466299131665155
3.523039,17.9894,3.2538194230769224,7.900961271399096,1.7311748539938328,5.106216536348306,2.4282113553577838
3.689686,18.88887,3.425073076923076,8.195547246550813,1.7093852558436322,5.119370591427021,2.392809456174671
3.856344,19.78834,3.5963267307692304,8.486506939408677,1.6888004541323245,5.131373134761837,2.359770836948808
4.022874,19.78834,3.767580384615384,8.774034746691346,1.669284991308504,4.918955950397652,2.32882482946334
4.189457,19.78834,3.938834038461538,9.058303714714665,1.6507242365873158,4.723366297828096,2.299742417746733
4.35607,20.68781,4.110087692307692,9.339468753544512,1.6330204381793938,4.749191358265593,2.272328342537304
4.522954,20.68781,4.281341346153845,9.61766925395754,1.616089653240498,4.573959850133342,2.246414961189114
4.689311,20.68781,4.452595,9.893031237478631,1.5998593338608529,4.41169502300018,2.2218574196572183
4.855983,20.68781,4.623848653846153,10.165669137456296,1.5842664096028654,4.260272327971494,2.198529817579651
5.022722,21.58728,4.795102307692307,10.435687285736616,1.569255750224786,4.297924511848357,2.176322133731261
5.190733,21.58728,4.9663559615384605,10.703181162317662,1.554778922598374,4.158811481923651,2.1551377398655225
5.357437,21.58728,5.137609615384615,10.968238452599142,1.5407931775172663,4.029404358838004,2.134891374337719
5.524357,21.58728,5.308863269230768,11.23093994724411,1.527260617783221,3.907654773216141,2.1155074782838446
5.690574,22.48675,5.480116923076922,11.491360312378388,1.514147510445356,3.9515785226586986,2.0969188201054534
5.857329,22.48675,5.651370576923076,11.7495687522595,1.501423714572566,3.839079211702126,2.0790653510208537
6.024069,22.48675,5.82262423076923,12.0056295822163,1.4890622023015112,3.732817469388216,2.0618932471673914
6.190482,22.48675,5.993877884615384,12.259602726279226,1.4770386557079451,3.6324715910651215,2.0453541033503893
6.357483,23.38622,6.165131538461537,12.511544151259862,1.465331125711605,3.678534413698,2.0294042508591836
6.523756,23.38622,6.336385192307692,12.7615062469283,1.4539197420399472,3.584778461978039,2.014004177400806
6.690269,23.38622,6.507638846153845,13.009538160252063,1.4427864654570286,3.4955575029942745,1.9991180315639336
6.857246,23.38622,6.678892499999999,13.25568609030598,1.4319148751662782,3.410439117978268,1.9847131976305925
7.023584,23.38622,6.850146153846152,13.4999935493671,1.421289985634222,3.329670436062273,1.9707599292297227
7.190102,24.28569,7.0213998076923065,13.74250159481782,1.4108980881412798,3.37765583854026,1.9572310324448694
7.356781,24.28569,7.192653461538461,13.983249035751296,1.400726613209169,3.3011299371287524,1.9441015906750458
7.523321,24.28569,7.363907115384614,14.222272617573958,1.3907640107301038,3.228054472220446,1.9313487248991643
7.689965,24.28569,7.535160769230768,14.459607187404366,1.3809996451673503,3.158101499811768,1.9189513840831407
7.856818,25.18516,7.706414423076922,14.695285842656295,1.371423703637629,3.205516533538132,1.9068901613506717
8.023287,25.18516,7.877668076923076,14.929340064850772,1.362027115044872,3.1390077408423758,1.8951471322566813
8.19005,25.18516,8.04892173076923,15.161799840414249,1.3528014787285425,3.0750923376536163,1.883705712089866
8.356373,25.18516,8.220175384615384,15.39269376997832,1.343739001331153,3.013886527085376,1.8725505296136127
8.523001,25.18516,8.391429038461537,15.622049167492047,1.3348324407889416,2.954963867773804,1.8616673150531884
8.689895,26.08463,8.56268269230769,15.849892150284989,1.326075056514909,3.00171981364562,1.8510428004676365
8.85625,26.08463,8.733936346153845,16.076247721071617,1.3174605649810154,2.945335779816514,1.8406646309199515
9.022863,26.08463,8.90519,16.30113984276224,1.3089831000212897,2.890948250017761,1.8305212850890593
